epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,1453.7,1.20419,1.1486,1.23361,0.53243,0.34044,0.37895,0.2241,1.40933,1.28659,1.34882,0.0006832,0.0006832,0.0006832
34,1497.9,1.20197,1.12358,1.23927,0.4898,0.34829,0.37684,0.22602,1.38011,1.28201,1.32806,0.0006733,0.0006733,0.0006733
35,1541.69,1.19038,1.10493,1.23675,0.48349,0.34507,0.37859,0.22255,1.36581,1.2736,1.32593,0.0006634,0.0006634,0.0006634
36,1586.61,1.18253,1.08865,1.23181,0.51794,0.37079,0.3788,0.21696,1.3913,1.25961,1.34178,0.0006535,0.0006535,0.0006535
37,1630.81,1.18757,1.08673,1.22051,0.44248,0.38625,0.37692,0.22109,1.37903,1.2536,1.32538,0.0006436,0.0006436,0.0006436
38,1676.15,1.17448,1.08114,1.21969,0.48959,0.39016,0.40587,0.24024,1.40529,1.25989,1.35565,0.0006337,0.0006337,0.0006337
39,1719.88,1.17162,1.07893,1.2165,0.54889,0.36802,0.39947,0.24183,1.37611,1.24376,1.32498,0.0006238,0.0006238,0.0006238
40,1763.41,1.16378,1.06073,1.21514,0.54659,0.36167,0.39052,0.23998,1.36917,1.26885,1.33061,0.0006139,0.0006139,0.0006139
41,1809.81,1.16525,1.05023,1.20955,0.49039,0.404,0.40594,0.23726,1.36983,1.22768,1.32178,0.000604,0.000604,0.000604
42,1853.19,1.14189,1.03536,1.20329,0.57039,0.33401,0.38395,0.23365,1.38354,1.23915,1.32036,0.0005941,0.0005941,0.0005941
43,1897.51,1.13769,1.03404,1.19293,0.49945,0.3796,0.39362,0.23254,1.38541,1.2246,1.33863,0.0005842,0.0005842,0.0005842
44,1941,1.15117,1.04253,1.19427,0.47337,0.394,0.39594,0.24183,1.36197,1.23774,1.32615,0.0005743,0.0005743,0.0005743
45,1984.1,1.14298,1.02538,1.19671,0.46361,0.39734,0.38966,0.23396,1.37346,1.24083,1.33103,0.0005644,0.0005644,0.0005644
46,2028.3,1.14925,1.02643,1.202,0.51721,0.38795,0.39377,0.22965,1.38808,1.22721,1.33921,0.0005545,0.0005545,0.0005545
47,2071.3,1.13031,1.0024,1.18853,0.53389,0.37582,0.40447,0.2378,1.37219,1.21747,1.32381,0.0005446,0.0005446,0.0005446
48,2115.27,1.13245,1.0085,1.19182,0.5571,0.38942,0.42635,0.2567,1.3561,1.19982,1.3127,0.0005347,0.0005347,0.0005347
49,2158.79,1.12476,1.00312,1.1988,0.55455,0.36301,0.39524,0.23788,1.36602,1.23639,1.31443,0.0005248,0.0005248,0.0005248
50,2201.84,1.10976,0.98435,1.17685,0.51735,0.3969,0.41085,0.24946,1.36567,1.21175,1.32019,0.0005149,0.0005149,0.0005149
51,2245.73,1.11026,0.9879,1.17979,0.56533,0.37153,0.41305,0.24867,1.35657,1.195,1.31209,0.000505,0.000505,0.000505
52,2289.1,1.11903,0.99064,1.18281,0.52323,0.38818,0.40884,0.24867,1.35634,1.19591,1.31558,0.0004951,0.0004951,0.0004951
53,2332.28,1.09762,0.96918,1.17263,0.54401,0.39246,0.41852,0.24885,1.36855,1.19601,1.32683,0.0004852,0.0004852,0.0004852
54,2376.18,1.09548,0.95978,1.16729,0.54239,0.37916,0.41443,0.25158,1.36086,1.18075,1.32059,0.0004753,0.0004753,0.0004753
55,2419.65,1.08452,0.94415,1.1608,0.53455,0.38538,0.40418,0.24037,1.387,1.22085,1.33262,0.0004654,0.0004654,0.0004654
56,2462.54,1.10211,0.9587,1.16884,0.53358,0.39773,0.41778,0.25243,1.35995,1.17937,1.32445,0.0004555,0.0004555,0.0004555
57,2506.46,1.08611,0.95331,1.16946,0.56461,0.3661,0.40529,0.24234,1.35921,1.18815,1.32173,0.0004456,0.0004456,0.0004456
58,2549.29,1.07904,0.93817,1.16156,0.60101,0.39236,0.4218,0.25139,1.3639,1.20209,1.32133,0.0004357,0.0004357,0.0004357
59,2593.6,1.06791,0.92393,1.15726,0.60838,0.35913,0.40444,0.24487,1.37541,1.18238,1.33152,0.0004258,0.0004258,0.0004258
60,2636.78,1.07936,0.92721,1.15957,0.53241,0.38468,0.41088,0.24927,1.35398,1.18537,1.31492,0.0004159,0.0004159,0.0004159
61,2679.89,1.06744,0.92875,1.15328,0.49922,0.37424,0.40132,0.24314,1.35839,1.1828,1.31656,0.000406,0.000406,0.000406
62,2723.81,1.06814,0.91699,1.15367,0.54974,0.38628,0.40535,0.24174,1.38306,1.20019,1.32586,0.0003961,0.0003961,0.0003961
63,2767.18,1.06726,0.91172,1.15029,0.58276,0.38341,0.43233,0.26173,1.35147,1.16911,1.31671,0.0003862,0.0003862,0.0003862
64,2810.19,1.06409,0.89683,1.14622,0.6503,0.38488,0.43092,0.25837,1.35795,1.1682,1.31458,0.0003763,0.0003763,0.0003763
65,2854.21,1.06006,0.90026,1.14805,0.59946,0.38242,0.42466,0.25447,1.34976,1.18798,1.31112,0.0003664,0.0003664,0.0003664
66,2898.16,1.05159,0.88695,1.14162,0.53658,0.37977,0.40607,0.24706,1.36157,1.2008,1.31917,0.0003565,0.0003565,0.0003565
67,2942.65,1.05328,0.88698,1.14207,0.60018,0.39573,0.43059,0.25526,1.35555,1.1666,1.32105,0.0003466,0.0003466,0.0003466
68,2994.98,1.05202,0.88967,1.13751,0.60954,0.36602,0.42265,0.24901,1.34625,1.16108,1.31479,0.0003367,0.0003367,0.0003367
69,3038.61,1.04331,0.87078,1.13414,0.50612,0.3858,0.40015,0.24163,1.35167,1.18299,1.31548,0.0003268,0.0003268,0.0003268
70,3082.32,1.0406,0.865,1.13103,0.56354,0.40352,0.42665,0.25985,1.35689,1.17114,1.31673,0.0003169,0.0003169,0.0003169
71,3127.18,1.02845,0.86088,1.12974,0.58334,0.38087,0.41667,0.25465,1.36095,1.17429,1.32941,0.000307,0.000307,0.000307
72,3178.61,1.0204,0.85037,1.12589,0.53612,0.41624,0.42439,0.25455,1.35016,1.15122,1.31715,0.0002971,0.0002971,0.0002971
73,3227.08,1.03889,0.85381,1.12613,0.57369,0.39682,0.43717,0.26079,1.35901,1.15441,1.32079,0.0002872,0.0002872,0.0002872
74,3280.77,1.01328,0.84072,1.11977,0.57997,0.38261,0.41919,0.24963,1.3557,1.161,1.32541,0.0002773,0.0002773,0.0002773
75,3325.01,1.01289,0.84203,1.11799,0.61909,0.37032,0.42915,0.25647,1.35327,1.17087,1.32094,0.0002674,0.0002674,0.0002674
76,3371.37,1.02403,0.84746,1.11937,0.54941,0.41942,0.43586,0.2602,1.35149,1.1578,1.31526,0.0002575,0.0002575,0.0002575
77,3416.42,1.01447,0.82924,1.11844,0.53913,0.41659,0.43305,0.2624,1.33641,1.14599,1.30212,0.0002476,0.0002476,0.0002476
78,3494.26,1.00756,0.82082,1.11148,0.56917,0.38027,0.42402,0.2616,1.35262,1.15376,1.31803,0.0002377,0.0002377,0.0002377
78,101.609,0.99502,0.81853,1.10773,0.50902,0.41917,0.42713,0.25777,1.3386,1.15404,1.31131,0.0002377,0.0002377,0.0002377
79,3583.08,1.00105,0.81799,1.11253,0.56624,0.39211,0.4237,0.26086,1.3431,1.14601,1.31491,0.0002278,0.0002278,0.0002278
79,194.679,0.99412,0.81173,1.10723,0.59194,0.39736,0.42946,0.26339,1.3427,1.14524,1.31256,0.0002278,0.0002278,0.0002278
80,3676.03,0.99966,0.82025,1.11386,0.54117,0.40611,0.42136,0.25447,1.34915,1.16492,1.31474,0.0002179,0.0002179,0.0002179
80,288.202,0.99814,0.81569,1.11001,0.58438,0.3887,0.43247,0.26432,1.34361,1.15415,1.31647,0.0002179,0.0002179,0.0002179
81,3769.29,0.99894,0.80608,1.10482,0.58319,0.41035,0.44075,0.26893,1.33558,1.14389,1.30868,0.000208,0.000208,0.000208
81,380.204,0.98801,0.81099,1.105,0.55706,0.42073,0.44195,0.2681,1.33874,1.14381,1.31501,0.000208,0.000208,0.000208
82,3861.84,0.99049,0.79672,1.10657,0.58719,0.39931,0.43521,0.26658,1.33849,1.15473,1.3106,0.0001981,0.0001981,0.0001981
82,472.224,0.99003,0.80253,1.1035,0.61945,0.38543,0.44089,0.26967,1.34892,1.15292,1.32225,0.0001981,0.0001981,0.0001981
83,3954.27,0.99611,0.80643,1.10606,0.52069,0.44406,0.43685,0.26206,1.3337,1.16091,1.30933,0.0001882,0.0001882,0.0001882
83,565.422,0.99,0.79959,1.10157,0.61151,0.40118,0.44587,0.2706,1.35296,1.14874,1.32253,0.0001882,0.0001882,0.0001882
84,4047.15,0.98134,0.79153,1.09474,0.59546,0.37113,0.42852,0.26132,1.32902,1.14025,1.30184,0.0001783,0.0001783,0.0001783
84,659.286,0.97455,0.78777,1.09939,0.58446,0.3829,0.42347,0.25577,1.36108,1.16314,1.32962,0.0001783,0.0001783,0.0001783
85,4138.87,0.97473,0.78929,1.0964,0.57717,0.40566,0.43537,0.26425,1.34739,1.14302,1.3178,0.0001684,0.0001684,0.0001684
85,751.791,0.97311,0.78653,1.09607,0.55933,0.41747,0.43968,0.26162,1.34867,1.15071,1.31995,0.0001684,0.0001684,0.0001684
86,4230.83,0.98928,0.79671,1.10598,0.60252,0.4015,0.43954,0.26504,1.34198,1.15597,1.31241,0.0001585,0.0001585,0.0001585
86,847.298,0.9766,0.78892,1.0958,0.5316,0.42,0.43923,0.2638,1.3482,1.13296,1.31315,0.0001585,0.0001585,0.0001585
87,4322.95,0.96887,0.78714,1.09454,0.56354,0.40388,0.43196,0.26336,1.34504,1.14299,1.31195,0.0001486,0.0001486,0.0001486
87,941.039,0.97699,0.77933,1.09276,0.5592,0.42372,0.44074,0.26526,1.34708,1.13121,1.31819,0.0001486,0.0001486,0.0001486
88,4414.29,0.97755,0.78165,1.09675,0.60434,0.4039,0.43543,0.26044,1.33575,1.14116,1.30671,0.0001387,0.0001387,0.0001387
88,1033.85,0.96785,0.76201,1.08976,0.5823,0.40431,0.43893,0.2635,1.3423,1.14007,1.31262,0.0001387,0.0001387,0.0001387
89,4509.15,0.98004,0.77807,1.09623,0.60261,0.39608,0.44128,0.26387,1.34212,1.14273,1.31252,0.0001288,0.0001288,0.0001288
89,1127.43,0.9571,0.76973,1.09355,0.58517,0.38471,0.43017,0.26022,1.34145,1.14328,1.31938,0.0001288,0.0001288,0.0001288
90,4601.82,0.9608,0.7715,1.08532,0.57282,0.39151,0.43152,0.26118,1.33665,1.14127,1.313,0.0001189,0.0001189,0.0001189
90,1218.9,0.96663,0.77244,1.09307,0.62232,0.39477,0.44454,0.26837,1.34684,1.13994,1.3213,0.0001189,0.0001189,0.0001189
91,4694.71,0.95752,0.73068,1.0699,0.54046,0.38034,0.415,0.24806,1.3415,1.14896,1.32451,0.000109,0.000109,0.000109
91,1313.28,0.94909,0.7272,1.06025,0.57929,0.38543,0.42642,0.25001,1.3473,1.14579,1.3361,0.000109,0.000109,0.000109
92,4787.4,0.92441,0.6934,1.05286,0.57386,0.41412,0.43117,0.25918,1.33972,1.14768,1.32134,9.91e-05,9.91e-05,9.91e-05
92,1407.89,0.92644,0.68856,1.0464,0.52292,0.41622,0.43894,0.26079,1.34622,1.14117,1.32397,9.91e-05,9.91e-05,9.91e-05
93,4879.94,0.91267,0.6798,1.0477,0.58786,0.39771,0.43165,0.26064,1.3442,1.14706,1.3213,8.92e-05,8.92e-05,8.92e-05
93,1504.14,0.91845,0.68804,1.05185,0.55845,0.39369,0.43054,0.25834,1.34353,1.15117,1.32725,8.92e-05,8.92e-05,8.92e-05
94,4974.1,0.90806,0.67238,1.04086,0.61304,0.38549,0.43029,0.2587,1.33884,1.14474,1.32071,7.93e-05,7.93e-05,7.93e-05
94,1594.38,0.90817,0.67105,1.04601,0.55405,0.40644,0.43721,0.26173,1.34066,1.13775,1.32011,7.93e-05,7.93e-05,7.93e-05
95,5065.72,0.89712,0.6622,1.03942,0.60011,0.36902,0.42653,0.25497,1.34461,1.14219,1.32528,6.94e-05,6.94e-05,6.94e-05
95,1688.24,0.90179,0.66578,1.04039,0.56188,0.39851,0.43426,0.25699,1.34348,1.14349,1.32398,6.94e-05,6.94e-05,6.94e-05
96,5160.13,0.90474,0.66943,1.04214,0.50969,0.39854,0.42086,0.25516,1.34002,1.15102,1.32438,5.95e-05,5.95e-05,5.95e-05
96,1777.39,0.88905,0.65303,1.03279,0.53898,0.41064,0.43497,0.25947,1.34371,1.14721,1.32536,5.95e-05,5.95e-05,5.95e-05
97,5248.09,0.89496,0.65977,1.03579,0.55913,0.39898,0.426,0.25705,1.34221,1.14607,1.32837,4.96e-05,4.96e-05,4.96e-05
97,1865.38,0.8896,0.65265,1.03423,0.53496,0.42057,0.43675,0.25879,1.34147,1.14656,1.32551,4.96e-05,4.96e-05,4.96e-05
98,5337.43,0.88456,0.6541,1.03267,0.55689,0.38749,0.42,0.25443,1.34674,1.15088,1.3307,3.97e-05,3.97e-05,3.97e-05
98,1960.43,0.8909,0.64991,1.03409,0.52809,0.41534,0.43312,0.25776,1.33936,1.1442,1.3221,3.97e-05,3.97e-05,3.97e-05
99,5430.65,0.8961,0.65108,1.02936,0.57727,0.38717,0.42489,0.25612,1.34578,1.14748,1.32746,2.98e-05,2.98e-05,2.98e-05
99,2050.35,0.89741,0.64949,1.0282,0.53143,0.414,0.4319,0.25826,1.34471,1.14104,1.32688,2.98e-05,2.98e-05,2.98e-05
100,5520.84,0.8855,0.64698,1.0285,0.59854,0.37808,0.42516,0.2575,1.34449,1.14836,1.32675,1.99e-05,1.99e-05,1.99e-05
100,2114.61,0.89263,0.65159,1.02677,0.54335,0.4171,0.44111,0.2628,1.3411,1.14466,1.32478,1.99e-05,1.99e-05,1.99e-05
